k1,k2,A_shard_indep,P_loss_correlated,P_loss_table42_formula
1,0,0.999999001997004,0.001,0.001
1,1,0.999999999002994,1.0000000000000001e-07,1.0000000000000001e-07
2,0,0.999999999002994,0.001,1e-06
2,1,0.999999999999004,1.0000000000000001e-07,1e-10
3,0,0.999999999999004,0.001,1e-09
3,1,0.999999999999999,1.0000000000000001e-07,1.0000000000000002e-13
