Replicas (k),Downtime Probability (1−A)^k,Shard Availability A_shard,Approx. Downtime / Year (hours)
1,0.010000000000000009,0.99,87.60000000000008
2,0.00010000000000000018,0.9999,0.8759999999999035
3,1.0000000000000027e-06,0.999999,0.0087600000002519
4,1.0000000000000035e-08,0.99999999,8.760000044016891e-05
